time,stock_code,current_price,volume,prev_day_high,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,indiv_net_vol,foreign_net_vol,inst_net_vol,pension_net_vol,trust_net_vol,insurance_net_vol,private_fund_net_vol,bank_net_vol,state_net_vol,other_net_vol,prog_net_vol
144038515,005930,70500.0,9222535,0.0,70540.0,45.45454545454546,99.94329458463284,63.63636363636363,66.66666666666667,1.0,1.2955682746204327,-9222535.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144041318,005930,70500.0,9222585,0.0,70520.0,45.45454545454546,99.97163925127623,63.63636363636363,66.66666666666667,1.0,1.3057581312969293,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144041719,005930,70600.0,9222590,0.0,70540.0,50.0,100.08505812305076,72.72727272727273,66.66666666666667,1.0,1.294898782792818,9222590.0,0.0,0.0,100.0,0.14184397163120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144041720,005930,70600.0,9222594,0.0,70560.0,50.0,100.05668934240364,72.72727272727273,69.6969696969697,1.0,1.283911754077033,0.0,0.0,0.0,-100.0,0.14184397163120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144043029,005930,70500.0,9222689,0.0,70540.0,42.857142857142854,99.94329458463284,63.63636363636363,69.6969696969697,1.0,1.3152338475919652,-9222689.0,0.0,0.0,-100.0,-0.141643059490085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144043616,005930,70500.0,9222691,0.0,70540.0,42.857142857142854,99.94329458463284,63.63636363636363,66.66666666666667,1.0,1.303054458369992,0.0,0.0,0.0,100.0,-0.141643059490085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144045030,005930,70600.0,9222701,0.0,70560.0,57.142857142857146,100.05668934240364,72.72727272727273,66.66666666666667,1.0,1.2949085781613898,9222701.0,0.0,0.0,100.0,0.14184397163120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144045324,005930,70500.0,9222877,0.0,70540.0,50.0,99.94329458463284,63.63636363636363,66.66666666666667,1.0,1.3629595463859827,-9222877.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144045527,005930,70500.0,9222915,0.0,70520.0,50.0,99.97163925127623,63.63636363636363,66.66666666666667,1.0,1.3663776276546507,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144045824,005930,70500.0,9222925,0.0,70520.0,50.0,99.97163925127623,63.63636363636363,63.63636363636363,1.0,1.3570436715113725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
