time,stock_code,current_price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty
1.75644E+12,161390,40200,284912,40200,100,100,4.347826087,4.347826087,1.00692608,2.309304211,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284913,40200,100,100,4.347826087,4.347826087,1.00637317,2.162807839,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284931,40200,100,100,4.347826087,4.347826087,1.005879465,2.051792831,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,284964,40200,100,100,4.347826087,4.347826087,1.005435329,1.966926766,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285280,40200,100,100,4.347826087,4.347826087,1.005935187,2.061636076,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285342,40200,100,100,4.347826087,4.347826087,1.005528713,1.994879138,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285345,40200,100,100,4.347826087,4.347826087,1.004914783,1.90408201,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285364,40200,100,100,4.347826087,4.347826087,1.004361287,1.833698392,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285385,40200,100,100,4.347826087,4.347826087,1.003840754,1.772734524,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,285406,40200,100,100,4.347826087,4.347826087,1.003325952,1.718538181,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
